problem,dim,seed,init_method,opt_method,best_target,best_eval,best_n_iter,best_delta,init_time,opt_time
bbob_f007_i01_d02,2,3,oblesa_sobol,de,92.94,92.94000000415373,429,4.153733357270539e-09,0.006184101104736328,0.6680421829223633
bbob_f007_i01_d02,2,3,oblesa_sobol,pso,92.94,92.94000005168256,9,5.168256222987111e-08,0.006184101104736328,0.011255741119384766
bbob_f007_i01_d02,2,3,oblesa_sobol,gwo,92.94,92.94000003802711,6,3.8027110349503346e-08,0.006184101104736328,0.01813030242919922
bbob_f007_i01_d02,2,3,oblesa_sobol,egwo,92.94,92.94000008807589,6,8.807589324533183e-08,0.006184101104736328,0.007004499435424805
bbob_f008_i01_d02,2,3,random,ga,149.15,18763.619573979155,1000,18614.469573979153,0.004997730255126953,3.506847858428955
bbob_f008_i01_d02,2,3,random,de,149.15,18763.619573979155,1000,18614.469573979153,0.004997730255126953,1.5352096557617188
bbob_f008_i01_d02,2,3,random,pso,149.15,2441.093793530567,1000,2291.943793530567,0.004997730255126953,1.1411879062652588
bbob_f008_i01_d02,2,3,random,gwo,149.15,149.15000005656614,503,5.6566136663604993e-08,0.004997730255126953,1.350290298461914
bbob_f008_i01_d02,2,3,random,egwo,149.15,149.15000000137167,269,1.3716601188207278e-09,0.004997730255126953,0.3000631332397461
bbob_f008_i01_d02,2,3,lhs,ga,149.15,149.19585647303188,1000,0.045856473031875566,0.2829551696777344,3.4887807369232178
bbob_f008_i01_d02,2,3,lhs,de,149.15,149.1517690429378,1000,0.001769042937780796,0.2829551696777344,1.5574066638946533
bbob_f008_i01_d02,2,3,lhs,pso,149.15,149.15000005886176,68,5.8861758134298725e-08,0.2829551696777344,0.07967710494995117
bbob_f008_i01_d02,2,3,lhs,gwo,149.15,149.15000001507562,382,1.5075613646331476e-08,0.2829551696777344,1.0147855281829834
bbob_f008_i01_d02,2,3,lhs,egwo,149.15,149.15000009247535,186,9.247534649148292e-08,0.2829551696777344,0.20765423774719238
bbob_f008_i01_d02,2,3,sobol,ga,149.15,149.51345612161745,1000,0.3634561216174461,0.0010080337524414062,3.607814311981201
bbob_f008_i01_d02,2,3,sobol,de,149.15,149.15701700832548,1000,0.007017008325476581,0.0010080337524414062,1.6534998416900635
bbob_f008_i01_d02,2,3,sobol,pso,149.15,149.1500000013407,62,1.3406804555415874e-09,0.0010080337524414062,0.08148074150085449
bbob_f008_i01_d02,2,3,sobol,gwo,149.15,149.150000051593,83,5.159299121260119e-08,0.0010080337524414062,0.23464179039001465
bbob_f008_i01_d02,2,3,sobol,egwo,149.15,149.15000001910838,146,1.91083699974115e-08,0.0010080337524414062,0.16342926025390625
bbob_f008_i01_d02,2,3,obl,ga,149.15,149.17611022148031,1000,0.026110221480308837,0.013107061386108398,3.628685712814331
bbob_f008_i01_d02,2,3,obl,de,149.15,156.216135849176,1000,7.066135849175993,0.013107061386108398,1.611802339553833
bbob_f008_i01_d02,2,3,obl,pso,149.15,154.15837805647965,1000,5.008378056479643,0.013107061386108398,1.1851778030395508
bbob_f008_i01_d02,2,3,obl,gwo,149.15,149.15000007723907,254,7.723906492174137e-08,0.013107061386108398,0.7177858352661133
bbob_f008_i01_d02,2,3,obl,egwo,149.15,149.15000006961802,324,6.961801091165398e-08,0.013107061386108398,0.40088367462158203
bbob_f008_i01_d02,2,3,oblesa_ess,ga,149.15,155.2609606674709,1000,6.110960667470891,1.0062854290008545,3.5567309856414795
bbob_f008_i01_d02,2,3,oblesa_ess,de,149.15,149.15048590733707,1000,0.00048590733706532774,1.0062854290008545,1.5014195442199707
bbob_f008_i01_d02,2,3,oblesa_ess,pso,149.15,149.15002552206835,1000,2.552206834138815e-05,1.0062854290008545,0.7125711441040039
bbob_f008_i01_d02,2,3,oblesa_ess,gwo,149.15,149.150000011343,93,1.1342990546836518e-08,1.0062854290008545,0.11146092414855957
bbob_f008_i01_d02,2,3,oblesa_ess,egwo,149.15,149.15000007969076,76,7.969074999891745e-08,1.0062854290008545,0.03992295265197754
bbob_f008_i01_d02,2,3,oblesa_lhs,ga,149.15,156.06745717567122,1000,6.917457175671217,0.12961935997009277,1.7295982837677002
bbob_f008_i01_d02,2,3,oblesa_lhs,de,149.15,149.1519178964137,1000,0.0019178964136870036,0.12961935997009277,1.6270833015441895
bbob_f008_i01_d02,2,3,oblesa_lhs,pso,149.15,149.15000005823052,74,5.823051196784945e-08,0.12961935997009277,0.08025574684143066
bbob_f008_i01_d02,2,3,oblesa_lhs,gwo,149.15,149.15000007616885,221,7.616884545313951e-08,0.12961935997009277,0.5927517414093018
bbob_f008_i01_d02,2,3,oblesa_lhs,egwo,149.15,149.15000007694525,194,7.694524128964986e-08,0.12961935997009277,0.2078876495361328
bbob_f008_i01_d02,2,3,oblesa_sobol,ga,149.15,149.16017071986852,1000,0.010170719868511924,0.0,3.736387014389038
bbob_f008_i01_d02,2,3,oblesa_sobol,de,149.15,149.15140409916762,1000,0.0014040991676154135,0.0,1.4961621761322021
bbob_f008_i01_d02,2,3,oblesa_sobol,pso,149.15,149.15000006324308,73,6.324307832983322e-08,0.0,0.09538149833679199
bbob_f008_i01_d02,2,3,oblesa_sobol,gwo,149.15,149.1500000784861,130,7.848609584470978e-08,0.0,0.32294440269470215
bbob_f008_i01_d02,2,3,oblesa_sobol,egwo,149.15,149.15000000873002,85,8.730012268642895e-09,0.0,0.10810351371765137
bbob_f008_i01_d02,2,3,oblesa_sobol,ga,149.15,149.16017071986852,1000,0.010170719868511924,0.0,2.815948247909546
bbob_f008_i01_d02,2,3,oblesa_sobol,de,149.15,149.15140409916762,1000,0.0014040991676154135,0.0,0.6864442825317383
bbob_f008_i01_d02,2,3,oblesa_sobol,pso,149.15,149.15000006324308,73,6.324307832983322e-08,0.0,0.038719892501831055
bbob_f008_i01_d02,2,3,oblesa_sobol,gwo,149.15,149.1500000784861,130,7.848609584470978e-08,0.0,0.15016508102416992
bbob_f008_i01_d02,2,3,oblesa_sobol,egwo,149.15,149.15000000873002,85,8.730012268642895e-09,0.0,0.04266524314880371
bbob_f009_i01_d02,2,3,random,ga,123.83,466.0804151949684,1000,342.2504151949684,0.0019958019256591797,2.129624366760254
bbob_f009_i01_d02,2,3,random,de,123.83,466.0804151949684,1000,342.2504151949684,0.0019958019256591797,1.2926685810089111
bbob_f009_i01_d02,2,3,random,pso,123.83,129.09043950858015,1000,5.2604395085801485,0.0019958019256591797,0.532522439956665
bbob_f009_i01_d02,2,3,random,gwo,123.83,123.8300000953189,710,9.53188958874307e-08,0.0019958019256591797,0.9928939342498779
bbob_f009_i01_d02,2,3,random,egwo,123.83,123.83000001783817,211,1.7838175381257315e-08,0.0019958019256591797,0.25946521759033203
bbob_f009_i01_d02,2,3,lhs,ga,123.83,123.85157375626517,1000,0.021573756265169663,0.31752610206604004,3.3910343647003174
bbob_f009_i01_d02,2,3,lhs,de,123.83,123.83134127113354,1000,0.0013412711335405447,0.31752610206604004,1.497972011566162
bbob_f009_i01_d02,2,3,lhs,pso,123.83,123.83000009944062,58,9.94406263998826e-08,0.31752610206604004,0.048303842544555664
